,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100
3 Nov 2025,4.1990,5.5108,4.8345,2.7247,5.2071,2.7522,2.9932,3.2219,54.0245
4 Nov 2025,4.1970,5.4947,4.8324,2.7314,5.1940,2.7320,2.9837,3.2161,53.9866
5 Nov 2025,4.1920,5.4683,4.8162,2.7309,5.1750,2.7204,2.9690,3.2093,53.9161
6 Nov 2025,4.1820,5.4719,4.8183,2.7233,5.1725,2.7252,2.9673,3.2052,53.7899
7 Nov 2025,4.1775,5.4740,4.8187,2.7213,5.1686,2.7093,2.9597,3.2039,53.7106
10 Nov 2025,4.1600,5.4806,4.8140,2.6982,5.1635,2.7165,2.9688,3.1935,53.5186
11 Nov 2025,4.1450,5.4395,4.7893,2.6848,5.1555,2.7017,2.9536,3.1812,53.3287
12 Nov 2025,4.1320,5.4199,4.7836,2.6699,5.1692,2.7032,2.9490,3.1703,53.1734
13 Nov 2025,4.1270,5.4344,4.7991,2.6708,5.1951,2.7152,2.9501,3.1750,53.1094
14 Nov 2025,4.1330,5.4413,4.8067,2.6741,5.2221,2.6988,2.9453,3.1770,53.1709
 
,THB100,PHP100,TWD100,KRW100,IDR100,SAR100,SDR,CNY,BND
3 Nov 2025,12.9459,7.1376,13.5974,0.2934,0.0252,111.9584,5.7039,0.5896,3.2219
4 Nov 2025,12.9019,7.1680,13.5927,0.2920,0.0251,111.9051,5.6924,0.5892,3.2158
5 Nov 2025,12.8787,7.1283,13.5668,0.2902,0.0251,111.7747,5.6803,0.5883,3.2094
6 Nov 2025,12.9274,7.0902,13.5344,0.2892,0.0251,111.5081,5.6654,0.5873,3.2052
7 Nov 2025,12.9164,7.0637,13.4815,0.2865,0.0250,111.3822,5.6659,0.5865,3.2039
10 Nov 2025,12.8594,7.0552,13.4267,0.2862,0.0250,110.9185,5.6510,0.5844,3.1935
11 Nov 2025,12.7942,7.0285,13.3624,0.2831,0.0248,110.5186,5.6312,0.5820,3.1812
12 Nov 2025,12.7227,6.9817,13.3016,0.2818,0.0247,110.1749,5.6138,0.5806,3.1703
13 Nov 2025,12.7910,6.9955,13.2821,0.2821,0.0247,110.0416,5.6061,0.5816,3.1750
14 Nov 2025,12.7700,6.9989,13.2676,0.2833,0.0248,110.2133,5.6215,0.5822,3.1770
 
,VND100,KHR100,NZD,MMK100,INR100,AED100,PKR100,NPR100,EGP
3 Nov 2025,0.0160,0.1039,2.4014,0.2006,4.7291,114.3207,1.4849,2.9557,0.0889
4 Nov 2025,0.0159,0.1041,2.3820,0.2005,4.7349,114.2663,1.4847,2.9593,0.0886
5 Nov 2025,0.0159,0.1040,2.3702,0.2002,4.7299,114.1301,1.4828,2.9551,0.0882
6 Nov 2025,0.0159,0.1037,2.3693,0.1997,4.7194,113.8579,1.4790,2.9491,0.0883
7 Nov 2025,0.0159,0.1036,2.3480,0.1995,4.7099,113.7354,1.4774,2.9436,0.0882
10 Nov 2025,0.0158,0.1031,2.3483,0.1987,4.6900,113.2589,1.4716,2.9312,0.0880
11 Nov 2025,0.0158,0.1028,2.3392,0.1980,4.6797,112.8505,1.4659,2.9245,0.0878
12 Nov 2025,0.0157,0.1026,2.3366,0.1974,4.6625,112.4981,1.4614,2.9135,0.0875
13 Nov 2025,0.0157,0.1025,2.3452,0.1971,4.6545,112.3605,1.4596,2.9090,0.0875
14 Nov 2025,0.0157,0.1027,2.3475,0.1974,4.6569,112.5361,1.4618,2.9104,0.0876
